DNS Resolver Log Started: 2025-10-26T15:44:43.081679
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'wpad', 'timestamp': '2025-10-26T15:44:54.067400', 'round_trip_time': '0.3928s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'fauzanalfi.com', 'timestamp': '2025-10-26T15:44:57.124294', 'round_trip_time': '0.1767s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: ns1.digitalocean.com. @ Glue IP: 172.64.52.210', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'fauzanalfi.com', 'timestamp': '2025-10-26T15:44:57.337341', 'round_trip_time': '0.2058s', 'dns_server_ip': '172.64.52.210', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'supreetsethi.net', 'timestamp': '2025-10-26T15:44:57.650708', 'round_trip_time': '0.2736s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'supreetsethi.net', 'timestamp': '2025-10-26T15:44:57.952266', 'round_trip_time': '0.2898s', 'dns_server_ip': '192.55.83.30', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'gucenmez.com', 'timestamp': '2025-10-26T15:44:58.232920', 'round_trip_time': '0.2388s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'gucenmez.com', 'timestamp': '2025-10-26T15:44:58.467277', 'round_trip_time': '0.2165s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: raina.ns.cloudflare.com. @ Glue IP: 108.162.194.241', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'gucenmez.com', 'timestamp': '2025-10-26T15:44:58.669545', 'round_trip_time': '0.1880s', 'dns_server_ip': '108.162.194.241', 'response_or_referral': 'Answer: 188.114.96.0', 'total_time_to_resolution': '0.6759s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'seedy.dk', 'timestamp': '2025-10-26T15:44:58.980980', 'round_trip_time': '0.2652s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: b.nic.dk. @ Glue IP: 193.163.102.222', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns2.simply.com.', 'timestamp': '2025-10-26T15:44:59.597455', 'round_trip_time': '0.2942s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:00.108369', 'round_trip_time': '0.2017s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:00.624994', 'round_trip_time': '0.2073s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:01.133571', 'round_trip_time': '0.2008s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:01.646020', 'round_trip_time': '0.2031s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:02.266030', 'round_trip_time': '0.2903s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:02.771810', 'round_trip_time': '0.2000s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:03.384573', 'round_trip_time': '0.2939s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:03.998568', 'round_trip_time': '0.2959s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:04.516073', 'round_trip_time': '0.2039s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:04.814587', 'round_trip_time': '0.2804s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns1.simply.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:04.304136', 'round_trip_time': '0.2936s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns1.simply.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:03.690648', 'round_trip_time': '0.2879s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns1.simply.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:03.076855', 'round_trip_time': '0.2903s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns1.simply.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:02.563670', 'round_trip_time': '0.2840s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns1.simply.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:01.953918', 'round_trip_time': '0.2947s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns1.simply.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:01.434560', 'round_trip_time': '0.2862s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns1.simply.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:00.924473', 'round_trip_time': '0.2852s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns1.simply.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.simply.com.', 'timestamp': '2025-10-26T15:45:00.410171', 'round_trip_time': '0.2859s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns1.simply.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns2.simply.com.', 'timestamp': '2025-10-26T15:44:59.899443', 'round_trip_time': '0.2857s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns1.simply.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'seedy.dk', 'timestamp': '2025-10-26T15:44:59.295732', 'round_trip_time': '0.3012s', 'dns_server_ip': '193.163.102.222', 'response_or_referral': 'Failed to resolve next NS IP: ns2.simply.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': '51cdngo.com', 'timestamp': '2025-10-26T15:45:05.150881', 'round_trip_time': '0.3183s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.dnsinside.net.', 'timestamp': '2025-10-26T15:45:05.640662', 'round_trip_time': '0.2610s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.dnsinside.net.', 'timestamp': '2025-10-26T15:45:05.940648', 'round_trip_time': '0.2897s', 'dns_server_ip': '192.55.83.30', 'response_or_referral': 'Delegation to: ns1.dnsinside.net. @ Glue IP: 61.139.126.180', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'ns1.dnsinside.net.', 'timestamp': '2025-10-26T15:45:06.452403', 'round_trip_time': '0.5045s', 'dns_server_ip': '61.139.126.180', 'response_or_referral': 'Answer: 61.139.126.180', 'total_time_to_resolution': '1.0781s'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': '51cdngo.com', 'timestamp': '2025-10-26T15:45:05.374131', 'round_trip_time': '0.2073s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Timeout or invalid response', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': '51cdngo.com', 'timestamp': '2025-10-26T15:45:06.962295', 'round_trip_time': '0.5037s', 'dns_server_ip': '61.139.126.180', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'simple-health-reports.com', 'timestamp': '2025-10-26T15:45:07.274198', 'round_trip_time': '0.2657s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'simple-health-reports.com', 'timestamp': '2025-10-26T15:45:07.508810', 'round_trip_time': '0.2218s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'hivelocitymedia.com', 'timestamp': '2025-10-26T15:45:07.789817', 'round_trip_time': '0.2345s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'hivelocitymedia.com', 'timestamp': '2025-10-26T15:45:08.299858', 'round_trip_time': '0.4966s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: jerome.ns.cloudflare.com. @ Glue IP: 108.162.193.181', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'hivelocitymedia.com', 'timestamp': '2025-10-26T15:45:08.501276', 'round_trip_time': '0.1899s', 'dns_server_ip': '108.162.193.181', 'response_or_referral': 'Answer: 104.21.1.224', 'total_time_to_resolution': '0.9464s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'jabeye.org', 'timestamp': '2025-10-26T15:45:08.808718', 'round_trip_time': '0.2640s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: a2.org.afilias-nst.info. @ Glue IP: 199.249.112.1', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns2.dreamhost.com.', 'timestamp': '2025-10-26T15:45:09.326334', 'round_trip_time': '0.2061s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns2.dreamhost.com.', 'timestamp': '2025-10-26T15:45:09.626055', 'round_trip_time': '0.2875s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: ns1.dreamhost.com. @ Glue IP: 162.159.26.14', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'ns2.dreamhost.com.', 'timestamp': '2025-10-26T15:45:09.833644', 'round_trip_time': '0.2001s', 'dns_server_ip': '162.159.26.14', 'response_or_referral': 'Answer: 162.159.26.81', 'total_time_to_resolution': '0.7175s'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'jabeye.org', 'timestamp': '2025-10-26T15:45:09.113737', 'round_trip_time': '0.2910s', 'dns_server_ip': '199.249.112.1', 'response_or_referral': 'Timeout or invalid response', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'jabeye.org', 'timestamp': '2025-10-26T15:45:10.136258', 'round_trip_time': '0.2958s', 'dns_server_ip': '162.159.26.81', 'response_or_referral': 'Answer: 173.236.216.220', 'total_time_to_resolution': '1.5918s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ticketbis.com', 'timestamp': '2025-10-26T15:45:10.450669', 'round_trip_time': '0.2747s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ticketbis.com', 'timestamp': '2025-10-26T15:45:10.704209', 'round_trip_time': '0.2376s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: ns1.markmonitor.com. @ Glue IP: 149.112.160.1', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ticketbis.com', 'timestamp': '2025-10-26T15:45:10.905303', 'round_trip_time': '0.1857s', 'dns_server_ip': '149.112.160.1', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'cellularfactory.com', 'timestamp': '2025-10-26T15:45:11.168142', 'round_trip_time': '0.2165s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'cellularfactory.com', 'timestamp': '2025-10-26T15:45:11.470068', 'round_trip_time': '0.2876s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: ns29.worldnic.com. @ Glue IP: 162.159.26.132', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'cellularfactory.com', 'timestamp': '2025-10-26T15:45:11.788226', 'round_trip_time': '0.3111s', 'dns_server_ip': '162.159.26.132', 'response_or_referral': 'Answer: 208.91.197.27', 'total_time_to_resolution': '0.8390s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'tsksv.ru', 'timestamp': '2025-10-26T15:45:12.088250', 'round_trip_time': '0.2481s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: a.dns.ripn.net. @ Glue IP: 193.232.128.6', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'tsksv.ru', 'timestamp': '2025-10-26T15:45:12.390278', 'round_trip_time': '0.2822s', 'dns_server_ip': '193.232.128.6', 'response_or_referral': 'Delegation to: ns3.timeweb.org. @ Glue IP: 85.193.93.85', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'tsksv.ru', 'timestamp': '2025-10-26T15:45:12.699994', 'round_trip_time': '0.3015s', 'dns_server_ip': '85.193.93.85', 'response_or_referral': 'Answer: 91.199.149.117', 'total_time_to_resolution': '0.8602s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'gaybodyblog.com', 'timestamp': '2025-10-26T15:45:13.007609', 'round_trip_time': '0.2625s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'gaybodyblog.com', 'timestamp': '2025-10-26T15:45:13.315110', 'round_trip_time': '0.2943s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: max.ns.cloudflare.com. @ Glue IP: 108.162.193.132', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'gaybodyblog.com', 'timestamp': '2025-10-26T15:45:13.618455', 'round_trip_time': '0.2921s', 'dns_server_ip': '108.162.193.132', 'response_or_referral': 'Answer: 148.72.167.158', 'total_time_to_resolution': '0.8736s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'datadikdki.net', 'timestamp': '2025-10-26T15:45:13.948535', 'round_trip_time': '0.2947s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'sky.ns.cloudflare.com.', 'timestamp': '2025-10-26T15:45:14.446415', 'round_trip_time': '0.2067s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'sky.ns.cloudflare.com.', 'timestamp': '2025-10-26T15:45:14.751589', 'round_trip_time': '0.2922s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'total_time_to_resolution': 'N/A'}
