DNS Resolver Log Started: 2025-10-26T15:38:47.507270
{'step_of_resolution': 'Root', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'wpad', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2558s', 'timestamp': '2025-10-26T15:38:55.963412', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'ex-jw.org', 'cache_status': 'MISS', 'dns_server_ip': '199.249.112.1', 'round_trip_time': '0.1852s', 'timestamp': '2025-10-26T15:39:03.345108', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 185.230.63.107', 'domain_name': 'ex-jw.org', 'cache_status': 'MISS', 'dns_server_ip': '216.239.36.100', 'round_trip_time': '0.2170s', 'timestamp': '2025-10-26T15:39:04.194996', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.3206s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: f.ext.nic.fr. @ Glue IP: 194.146.106.46', 'domain_name': 'us.tf', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1808s', 'timestamp': '2025-10-26T15:39:04.433088', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'ns1.idnscan.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2723s', 'timestamp': '2025-10-26T15:39:05.079261', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: a.nic.de. @ Glue IP: 194.0.0.53', 'domain_name': 'ns1.domainers.de.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2993s', 'timestamp': '2025-10-26T15:39:05.697041', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns1.domainers.de. @ Glue IP: 95.130.16.246', 'domain_name': 'ns1.domainers.de.', 'cache_status': 'MISS', 'dns_server_ip': '194.0.0.53', 'round_trip_time': '0.2928s', 'timestamp': '2025-10-26T15:39:06.004503', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 95.130.16.246', 'domain_name': 'ns1.domainers.de.', 'cache_status': 'MISS', 'dns_server_ip': '95.130.16.246', 'round_trip_time': '0.2921s', 'timestamp': '2025-10-26T15:39:06.314303', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.9307s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'ns1.idnscan.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.2894s', 'timestamp': '2025-10-26T15:39:05.382850', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 95.130.17.35', 'domain_name': 'ns1.idnscan.net.', 'cache_status': 'MISS', 'dns_server_ip': '95.130.16.246', 'round_trip_time': '0.2886s', 'timestamp': '2025-10-26T15:39:06.610120', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.8081s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'us.tf', 'cache_status': 'MISS', 'dns_server_ip': '194.146.106.46', 'round_trip_time': '0.3584s', 'timestamp': '2025-10-26T15:39:04.801845', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'us.tf', 'cache_status': 'MISS', 'dns_server_ip': '95.130.17.35', 'round_trip_time': '2.0057s', 'timestamp': '2025-10-26T15:39:08.621102', 'resolution_mode': 'Iterative (Query Failed)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: f.ext.nic.fr. @ Glue IP: 194.146.106.46', 'domain_name': 'informarexresistere.fr', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2904s', 'timestamp': '2025-10-26T15:39:08.967664', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'dns100.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2024s', 'timestamp': '2025-10-26T15:39:09.585030', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2909s', 'timestamp': '2025-10-26T15:39:10.199252', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2890s', 'timestamp': '2025-10-26T15:39:10.816207', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1899s', 'timestamp': '2025-10-26T15:39:11.232457', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2831s', 'timestamp': '2025-10-26T15:39:11.734242', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2908s', 'timestamp': '2025-10-26T15:39:12.349443', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1939s', 'timestamp': '2025-10-26T15:39:12.863690', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2576s', 'timestamp': '2025-10-26T15:39:13.373586', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2685s', 'timestamp': '2025-10-26T15:39:13.989289', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2919s', 'timestamp': '2025-10-26T15:39:14.603671', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns10.ovh.net.', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.2977s', 'timestamp': '2025-10-26T15:39:14.912479', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns10.ovh.net.', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.2882s', 'timestamp': '2025-10-26T15:39:14.297541', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns10.ovh.net.', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.2977s', 'timestamp': '2025-10-26T15:39:13.686216', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns10.ovh.net.', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.2245s', 'timestamp': '2025-10-26T15:39:13.100751', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns10.ovh.net.', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.2933s', 'timestamp': '2025-10-26T15:39:12.657923', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns10.ovh.net.', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.2945s', 'timestamp': '2025-10-26T15:39:12.043292', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns10.ovh.net.', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.1873s', 'timestamp': '2025-10-26T15:39:11.434741', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns10.ovh.net.', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.1994s', 'timestamp': '2025-10-26T15:39:11.028587', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns10.ovh.net.', 'domain_name': 'ns10.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.2932s', 'timestamp': '2025-10-26T15:39:10.507609', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns10.ovh.net.', 'domain_name': 'dns100.ovh.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.2962s', 'timestamp': '2025-10-26T15:39:09.895189', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns100.ovh.net.', 'domain_name': 'informarexresistere.fr', 'cache_status': 'MISS', 'dns_server_ip': '194.146.106.46', 'round_trip_time': '0.3991s', 'timestamp': '2025-10-26T15:39:09.374754', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: a.nic.de. @ Glue IP: 194.0.0.53', 'domain_name': 'running-sigi.de', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2766s', 'timestamp': '2025-10-26T15:39:15.217158', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'running-sigi.de', 'cache_status': 'MISS', 'dns_server_ip': '194.0.0.53', 'round_trip_time': '0.2913s', 'timestamp': '2025-10-26T15:39:15.519672', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'buynowfromusa.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2570s', 'timestamp': '2025-10-26T15:39:15.834683', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns-cloud-c1.googledomains.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3038s', 'timestamp': '2025-10-26T15:39:16.447144', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns5.googledomains.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1951s', 'timestamp': '2025-10-26T15:39:16.958013', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns5.googledomains.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2023s', 'timestamp': '2025-10-26T15:39:17.368039', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns5.googledomains.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1970s', 'timestamp': '2025-10-26T15:39:17.776908', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns5.googledomains.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3007s', 'timestamp': '2025-10-26T15:39:18.289768', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns5.googledomains.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3012s', 'timestamp': '2025-10-26T15:39:18.903982', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns5.googledomains.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2878s', 'timestamp': '2025-10-26T15:39:19.417445', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns5.googledomains.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2016s', 'timestamp': '2025-10-26T15:39:19.927929', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
