DNS Resolver Log Started: 2025-10-26T15:48:39.237830
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:49.790988', 'round_trip_time': '0.2284s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'wpad', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:52.970328', 'round_trip_time': '0.2949s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'noah.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 108.162.193.133', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:48:53.271655', 'round_trip_time': '0.2838s', 'total_time_to_resolution': '0.8215s', 'dns_server_ip': '162.159.0.33', 'domain_name': 'noah.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:52.450936', 'round_trip_time': '0.2877s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '213.248.216.1', 'domain_name': 'charityjob.co.uk', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 104.24.145.14', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:48:53.578725', 'round_trip_time': '0.3004s', 'total_time_to_resolution': '1.6875s', 'dns_server_ip': '108.162.193.133', 'domain_name': 'charityjob.co.uk', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:53.892418', 'round_trip_time': '0.2546s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'sarahpartridge.net', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:54.192961', 'round_trip_time': '0.2891s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'sarahpartridge.net', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:54.505902', 'round_trip_time': '0.2468s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ecolems.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:55.016249', 'round_trip_time': '0.2058s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns-149-a.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:55.631332', 'round_trip_time': '0.2943s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:56.246901', 'round_trip_time': '0.2949s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:56.776186', 'round_trip_time': '0.2303s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:57.272428', 'round_trip_time': '0.1922s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:57.683088', 'round_trip_time': '0.1949s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:58.191977', 'round_trip_time': '0.2903s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:58.705679', 'round_trip_time': '0.1934s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:59.284440', 'round_trip_time': '0.2609s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:59.726844', 'round_trip_time': '0.2144s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns0.gandi.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:00.035141', 'round_trip_time': '0.2959s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns0.gandi.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:59.502176', 'round_trip_time': '0.2035s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns0.gandi.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:59.012030', 'round_trip_time': '0.2955s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns0.gandi.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:58.500181', 'round_trip_time': '0.2936s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns0.gandi.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:57.888529', 'round_trip_time': '0.1942s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns0.gandi.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:57.475545', 'round_trip_time': '0.1909s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns0.gandi.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:57.066525', 'round_trip_time': '0.2747s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns0.gandi.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:56.519991', 'round_trip_time': '0.2589s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns0.gandi.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:55.938420', 'round_trip_time': '0.2942s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'dns0.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns0.gandi.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:55.324438', 'round_trip_time': '0.2907s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'ns-149-a.gandi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ns-149-a.gandi.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:54.804800', 'round_trip_time': '0.2791s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ecolems.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:00.248301', 'round_trip_time': '0.1957s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'marilynlingerie.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:00.444755', 'round_trip_time': '0.1857s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'marilynlingerie.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:00.756455', 'round_trip_time': '0.2525s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'anvilnetworksolutions.net', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.nic.de. @ Glue IP: 194.0.0.53', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:01.263831', 'round_trip_time': '0.2020s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns1072.ui-dns.de.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns-de.ui-dns.de. @ Glue IP: 185.132.32.193', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:01.464666', 'round_trip_time': '0.1894s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.0.53', 'domain_name': 'ns1072.ui-dns.de.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Query Failed)', 'timestamp': '2025-10-26T15:49:03.483569', 'round_trip_time': '2.0066s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '185.132.32.193', 'domain_name': 'ns1072.ui-dns.de.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ns1072.ui-dns.de.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:01.053352', 'round_trip_time': '0.2869s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'anvilnetworksolutions.net', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: f.ext.nic.fr. @ Glue IP: 194.146.106.46', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:03.718449', 'round_trip_time': '0.1776s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cdmail.fr', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:04.337165', 'round_trip_time': '0.2039s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns2.bdmi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.bdmi.net. @ Glue IP: 195.154.36.238', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:04.638887', 'round_trip_time': '0.2822s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'ns2.bdmi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 5.196.212.145', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:04.841997', 'round_trip_time': '0.1967s', 'total_time_to_resolution': '0.7138s', 'dns_server_ip': '195.154.36.238', 'domain_name': 'ns2.bdmi.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:04.126754', 'round_trip_time': '0.4008s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.146.106.46', 'domain_name': 'cdmail.fr', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 5.196.212.149', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:05.047803', 'round_trip_time': '0.2008s', 'total_time_to_resolution': '1.5073s', 'dns_server_ip': '5.196.212.145', 'domain_name': 'cdmail.fr', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:05.360046', 'round_trip_time': '0.2533s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'freeditorial.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: cleo.ns.cloudflare.com. @ Glue IP: 108.162.193.89', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:05.571342', 'round_trip_time': '0.1981s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'freeditorial.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 51.178.246.100', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:05.870096', 'round_trip_time': '0.2863s', 'total_time_to_resolution': '0.7636s', 'dns_server_ip': '108.162.193.89', 'domain_name': 'freeditorial.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:06.179452', 'round_trip_time': '0.2432s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ciber.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.htcindia.com. @ Glue IP: 103.247.209.10', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:06.481917', 'round_trip_time': '0.2853s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ciber.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 103.247.209.15', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:06.890369', 'round_trip_time': '0.4008s', 'total_time_to_resolution': '0.9544s', 'dns_server_ip': '103.247.209.10', 'domain_name': 'ciber.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:07.224973', 'round_trip_time': '0.2706s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'get-webby.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:07.438672', 'round_trip_time': '0.1974s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'get-webby.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:07.818250', 'round_trip_time': '0.3084s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'gadgetgearpro.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:08.015793', 'round_trip_time': '0.1839s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'gadgetgearpro.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a2.org.afilias-nst.info. @ Glue IP: 199.249.112.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:08.330415', 'round_trip_time': '0.2486s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'sonoma-marinfair.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:08.842898', 'round_trip_time': '0.2052s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'adrian.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:09.147154', 'round_trip_time': '0.2918s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'adrian.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 173.245.58.57', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:09.451487', 'round_trip_time': '0.2875s', 'total_time_to_resolution': '0.8182s', 'dns_server_ip': '162.159.0.33', 'domain_name': 'adrian.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:08.631503', 'round_trip_time': '0.2802s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.249.112.1', 'domain_name': 'sonoma-marinfair.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 188.114.97.0', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:09.756488', 'round_trip_time': '0.2947s', 'total_time_to_resolution': '1.6752s', 'dns_server_ip': '173.245.58.57', 'domain_name': 'sonoma-marinfair.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:10.073416', 'round_trip_time': '0.2601s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ishidatic.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:10.686732', 'round_trip_time': '0.2909s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:11.298791', 'round_trip_time': '0.2898s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:11.816401', 'round_trip_time': '0.1978s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
